Calories,Proteins,Fat,Carbohydrate,Name
0.0,0.0,0.2,0.0,Agar-agar
45.0,1.1,0.4,10.8,Akar tonjong segar
37.0,4.4,0.5,3.8,Aletoge segar
85.0,0.9,6.5,7.7,Alpukat segar
96.0,3.7,0.6,19.1,Ampas kacang hijau
75.0,4.1,2.1,10.7,Ampas tahu kukus
67.0,5.0,2.1,8.1,Ampas tahu mentah
184.0,18.8,14.0,0.0,Anak sapi daging gemuk segar
174.0,19.6,10.0,0.0,Anak sapi daging kurus segar
190.0,19.1,12.0,0.0,Anak sapi daging sedang segar
99.0,4.6,1.0,18.0,Andaliman segar
25.0,1.6,0.2,5.3,Andewi
30.0,0.5,0.2,6.8,Anggur hutan segar
126.0,3.4,7.9,10.3,Anyang sayur
58.0,0.3,0.4,14.9,Apel
57.0,0.5,0.4,12.8,Apel malang segar
37.0,0.8,0.5,8.3,Arbei
113.0,0.9,7.2,11.2,Ares sayur
102.0,1.0,0.2,24.1,Arrowroot segar
75.0,0.2,1.1,16.1,Asam kandis segar
239.0,2.8,0.6,62.5,Asam masak di pohon
135.0,0.8,0.4,32.1,Asam payak segar
261.0,0.9,1.6,63.3,Asan kandis kering
98.0,3.9,2.6,14.8,Asinan Bogor sayuran
270.0,32.3,11.2,9.9,Ayam ampela goreng
75.0,13.8,1.9,0.7,Ayam dideh/darah segar
295.0,34.0,16.0,1.5,Ayam goreng church texa sayap
298.0,34.2,16.8,0.1,Ayam goreng kentucky dada
286.0,32.1,16.1,1.1,Ayam goreng Kentucky paha
287.0,31.0,15.7,1.7,Ayam goreng paha
245.0,33.1,11.4,0.3,Ayam goreng pasundan paha
261.0,27.4,16.1,1.6,Ayam hati segar
113.0,17.6,4.2,0.0,Babat
110.0,16.3,4.6,0.8,Babi ginjal segar
129.0,19.7,4.8,1.7,Babi hati segar
491.0,24.6,16.3,0.2,Babi hutan masak rica masakan
102.9,3.3,2.7,16.3,Bacang
450.0,3.2,13.9,78.1,Bagea kelapa asin
452.0,1.3,13.8,80.6,Bagea kelapa manis
416.0,6.5,9.4,76.3,Bagea kw 1
382.0,0.3,3.5,87.2,Bagea kw 2
129.0,1.9,6.6,15.6,Baje
272.0,8.7,6.7,44.1,Bakpia kue
76.0,4.1,2.5,9.2,Bakso 
27.0,2.0,0.2,4.2,Bakung segar
280.0,8.2,10.2,39.0,Bakwan
13.0,0.4,0.2,3.0,Baligo
190.0,3.3,0.3,43.5,Bantal
159.0,3.1,5.8,23.5,Barongko
137.0,4.3,4.8,19.1,Batang Tading
107.0,2.2,2.2,19.6,Batar daan
76.0,1.1,0.9,16.0,Batatas gembili segar
110.0,1.4,1.1,23.4,Batatas kelapa ubi bakar
92.0,1.2,0.3,21.0,Batatas kelapa ubi kukus
89.0,1.1,0.1,21.0,Batatas kelapa ubi segar
182.0,2.4,0.4,42.2,Batatas tali ubi rebus
45.0,1.4,0.2,10.3,Bawang Bombay
39.0,1.5,0.3,0.2,Bawang Merah
95.0,4.5,0.2,23.1,Bawang Putih
30.0,1.3,0.7,5.8,Bayam kukus
51.0,4.6,0.5,10.0,Bayam Merah
41.0,2.2,0.8,6.3,Bayam merah segar
23.0,1.2,0.6,3.7,Bayam rebus
36.0,3.5,0.5,6.5,Bayam segar
102.0,3.7,6.7,6.9,Bayam tumis + oncom
48.0,1.4,4.2,2.6,Bayam tumis bersantan
65.0,1.1,5.2,3.5,Beberuk
258.0,10.6,9.5,32.5,Beef burger
151.0,8.6,3.1,22.3,Beef teriyaki masakan
132.0,9.8,1.1,20.7,Beef yakiniku masakan
116.0,11.9,4.9,6.1,Bekasam
78.0,11.4,2.0,3.6,Bekasang
131.0,20.2,4.3,2.8,Belibis daging segar
36.0,0.4,0.4,8.8,Belimbing
145.0,1.2,0.4,34.2,Belitung talas kukus
70.0,14.6,0.8,1.0,Belut segar
93.0,12.8,1.5,6.1,Belutlaut segar
55.0,1.4,0.2,12.8,Bengkuang
98.0,1.6,0.7,20.9,Bentul (Komba)  talas segar
71.0,2.3,0.3,15.4,Bentul talas kukus
350.0,2.7,1.1,82.3,Beras Cerdas
364.0,3.4,0.7,86.3,Beras ganyong
360.0,6.8,0.7,78.9,Beras Giling
178.0,2.1,0.1,40.6,Beras Giling masak (nasi) 
357.0,8.4,1.7,77.1,Beras giling mentah
369.0,9.5,1.4,77.1,Beras giling var pelita mentah
357.0,8.4,1.7,77.1,Beras giling var rojolele mentah
351.0,8.0,1.3,76.9,Beras hitam mentah
358.0,5.5,0.1,82.7,Beras jagung kuning kering mentah
307.0,4.8,0.1,71.8,Beras jagung putih kering mentah
356.0,7.0,0.7,78.0,Beras Ketan Hitam
181.0,4.0,1.2,37.3,Beras Ketan Hitam kukus
166.0,3.8,1.0,34.4,Beras Ketan Hitam tape
360.0,8.0,2.3,74.5,Beras Ketan Hitam tumbuk
360.0,8.0,2.3,74.5,Beras ketan hitam tumbuk mentah
362.0,6.7,0.7,79.4,Beras Ketan Putih
163.0,3.0,0.4,35.7,Beras Ketan Putih kukus
172.0,3.0,0.5,37.5,Beras Ketan Putih tape
361.0,7.4,0.8,78.4,Beras Ketan Putih tumbuk
361.0,7.4,0.8,78.4,Beras ketan putih tumbuk mentah
376.0,7.5,3.8,78.0,Beras ladang mentah
339.0,7.7,4.4,73.0,Beras Menir
362.0,7.7,4.4,73.0,Beras menir mentah
359.0,7.5,0.9,77.6,Beras Merah tumbuk
364.0,6.8,0.6,80.1,Beras Parboiled
353.0,6.8,0.6,80.0,Beras parboiled
335.0,7.4,1.9,76.2,Beras Pecah Kulit
363.0,7.6,1.1,78.3,Beras Setengah Giling
344.0,1.1,0.2,28.3,Beras Siger
354.0,7.8,0.4,79.9,Beras tumbuk mentah
352.0,7.3,0.9,76.2,Beras tumbuk merah mentah
145.0,16.3,7.0,4.1,Betok wadi masakan
360.0,4.7,0.1,82.1,Bihun
154.0,3.0,4.5,25.5,Bihun Goreng 
381.0,6.1,3.9,80.3,Bihun goreng instan
354.0,0.5,0.3,87.4,Bihun Jagung mentah
348.0,4.7,0.1,82.1,Bihun mentah
262.0,2.3,5.4,51.1,Biji nangka/Biji salak
199.0,2.1,1.5,44.4,Bika ambon
225.7,3.0,0.3,52.9,Bika Ambon 
48.0,0.6,0.0,4.4,Bir (4% alkohol)
458.0,6.9,14.4,75.1,Biskuit
42.0,1.6,0.1,9.6,Bit
51.0,0.3,0.1,12.1,Biwah segar
43.0,2.6,0.0,11.6,Bonggol Pisang
245.0,3.4,0.0,66.2,Bonggol Pisang kering
119.0,4.4,3.5,18.3,Bongkrek (tempe bungkil)
23.0,1.0,0.8,7.2,Boros Kunci
22.0,1.0,0.3,4.7,Boros Laja (lengkuas)
186.0,11.7,9.7,13.0,Botok lamtoro
249.0,3.4,0.4,58.0,Brem
141.0,15.3,3.3,12.6,Brongkos
23.0,0.8,0.2,5.2,Buah Atung
110.0,1.4,2.1,21.4,Buah kelenting segar
38.0,1.5,0.2,7.5,Buah kelor
264.0,4.0,1.1,59.6,Buah kom segar
39.0,0.7,0.2,9.7,Buah Mentega (bisbul)
87.0,2.6,2.7,13.1,Buah merah
71.0,1.7,3.1,9.1,Buah Naga Merah segar
56.0,0.8,1.0,10.9,Buah Naga Putih segar
55.0,1.2,0.1,12.2,Buah negri segar
101.0,1.7,0.6,25.2,Buah Nona
78.0,0.6,0.3,18.2,Buah rotan segar
113.0,0.8,0.3,26.8,Buah rukam segar
29.0,2.1,0.7,3.6,Buah ruruhi segar
67.0,0.4,0.2,15.9,Buah tuppa segar
167.0,0.2,4.0,33.0,Bubur sagu
156.0,2.3,0.2,15.6,Bubur tinotuan (Manado)
72.0,11.4,4.9,1.4,Bulgogi masakan
212.0,16.9,0.2,47.6,Bulung Jajan
237.0,14.7,0.2,56.0,Bulung Sangu
35.0,2.4,0.2,7.7,Buncis
60.0,5.1,0.5,8.5,Buncis asam
30.0,2.2,0.2,6.4,Buncis rebus
45.0,2.6,0.3,8.1,Bunga pepaya segar
42.0,2.0,1.1,6.1,Bunga turi segar
333.0,29.3,3.3,50.0,Bungkil Biji Karet
368.0,23.0,15.0,40.0,Bungkil Kelapa
106.0,4.4,6.3,7.9,Buntil 
141.0,4.4,10.2,8.0,Buntil daun talas
125.7,3.3,1.9,23.9,Buras 
38.0,1.6,0.8,6.3,Cabai gembor merah segar
26.0,0.7,0.3,5.2,Cabai hijau segar
367.0,15.9,6.2,61.8,Cabai merah kering
36.0,1.0,0.3,7.3,Cabai merah segar
120.0,4.7,2.4,19.9,Cabai rawit segar
20.0,1.7,0.4,3.4,Caisin segar
155.0,20.1,3.8,10.2,Cakalang asar (asap papua)
323.0,4.9,11.5,50.1,Cake tape
102.0,3.2,6.0,8.7,Cammetutu
366.0,11.0,3.3,73.0,Cantel mentah
97.0,5.8,6.3,4.2,Cap cai sayur
24.0,1.9,0.2,3.7,Carica papaya segar
116.0,3.0,0.4,28.6,Cempedak
330.0,5.2,8.9,57.4,Cengkeh kering
332.0,11.0,3.3,73.0,Centel
168.0,13.0,9.6,7.5,Chicken teriyaki masakan
143.0,9.8,1.4,22.8,Chikiniku masakan
311.0,8.0,4.0,48.9,Coklat bubuk
210.0,1.6,6.6,35.8,Combro 
96.0,6.8,5.9,3.8,Coto mangkasara kuda masakan
84.0,6.0,6.0,1.4,Coto mangkasara sapi masakan
145.0,27.0,2.3,0.0,Cue Selar Kuning
12.0,0.1,0.1,5.0,Cuka
75.0,16.1,0.7,0.1,Cumi-cumi segar
190.0,19.1,12.0,0.0,Daging Anak Sapi
191.0,32.0,6.0,0.0,Daging Asap
206.0,17.1,14.8,0.0,Daging Domba
154.0,16.6,9.2,0.0,Daging Kambing
84.0,18.7,0.5,0.0,Daging Kerbau
118.0,18.1,4.1,0.9,Daging Kuda
207.0,18.8,14.0,0.0,Daging Sapi
27.0,1.3,0.6,4.0,Daun bangun-bangun segar
29.0,1.8,0.7,5.2,Daun Bawang
41.0,2.0,0.3,7.8,Daun bawang  merah segar
41.0,2.7,1.0,7.3,Daun bebuas segar
50.0,4.4,1.4,7.8,Daun belem segar
42.0,1.8,0.5,9.4,Daun Beluntas
122.0,6.0,1.0,26.0,Daun Cincau
60.0,3.1,0.3,14.0,Daun Gandaria
58.0,2.9,0.7,10.0,Daun gedi besar segar
30.0,1.3,0.7,5.8,Daun gelang segar
50.0,4.6,0.9,7.0,Daun gunda bali segar
62.0,4.2,0.9,9.2,Daun gunda serang segar
73.0,4.6,0.5,16.2,Daun Jambu Mete muda
34.0,3.8,0.5,5.3,Daun jampang segar
93.0,5.0,1.3,15.3,Daun jawaw seluang segar
27.0,2.1,0.7,4.4,Daun jonghe segar
36.0,2.9,0.6,6.8,Daun kacang ma segar
34.0,4.1,0.4,5.8,Daun Kacang Panjang
40.0,3.7,0.3,8.0,Daun Kacang Panjang kukus
30.0,3.1,0.3,5.8,Daun kacang panjang segar
92.0,4.0,3.6,10.9,Daun kasbi/singkong karet segar
59.0,4.8,1.0,11.0,Daun Katuk
53.0,5.3,0.9,9.1,Daun katuk rebus
59.0,6.4,1.0,9.9,Daun katuk segar
47.0,5.0,0.5,8.5,Daun Kecipir
59.0,2.8,0.3,13.4,Daun Kedondong
82.0,6.7,1.7,14.3,Daun Kelor
61.0,6.1,0.9,10.0,Daun Kelor rebus
46.0,4.0,0.5,8.9,Daun Kemangi
45.0,3.7,0.5,6.6,Daun kenikir segar
48.0,4.5,0.8,9.1,Daun kesum segar
22.0,2.1,0.5,3.6,Daun kol sawi segar
23.0,3.0,0.3,3.7,Daun Koro
51.0,2.5,1.1,8.0,Daun kubis segar
14.0,1.3,0.3,2.3,Daun Kumak
60.0,4.0,0.4,4.7,Daun Labu Siam
30.0,3.6,0.6,4.5,Daun Labu Waluh
87.0,8.3,1.8,14.4,Daun lamtoro segar
76.0,2.8,0.2,15.8,Daun leilem segar
45.0,4.7,0.5,8.1,Daun Leunca
30.0,2.3,0.4,5.8,Daun Lobak
40.0,3.0,0.8,7.4,Daun Lompong Tales
54.0,3.7,0.3,11.8,Daun Mangkokan
71.0,6.8,1.6,11.5,Daun matel ambon segar
99.0,5.0,1.3,21.3,Daun Melinjo
63.0,3.8,1.5,11.5,Daun Mengkudu Kukus
166.0,1.7,0.5,38.8,Daun ndusuk segar
22.0,1.0,0.1,5.3,Daun Oyong
22.0,1.0,0.1,5.3,Daun oyong segar
35.0,4.0,0.3,6.4,Daun Pakis
54.0,2.2,3.6,3.1,Daun pakis longgiho segar
39.0,4.5,0.4,6.9,Daun pakis segar
53.0,3.4,1.2,7.2,Daun pakis wambateu segar
29.0,3.4,0.1,6.5,Daun paku segar
104.0,3.9,0.6,17.9,Daun pangisegar
49.0,2.7,1.0,8.4,Daun pare segar
87.0,8.0,2.0,11.9,Daun pepaya segar
128.0,12.0,6.5,12.4,Daun Pete Cina
37.0,2.5,0.8,6.9,Daun Poh-pohan
301.0,14.2,10.9,49.0,Daun salam  bubuk
62.0,4.0,0.5,10.5,Daun selasih segar
45.0,4.4,8.0,0.5,Daun Semanggi
45.0,4.4,0.5,8.5,Daun semanggi segar
53.0,3.2,2.5,7.6,Daun simpur segar
68.0,2.0,1.0,15.2,Daun singkil segar
73.0,6.8,1.2,13.0,Daun Singkong
144.0,12.7,1.2,25.2,Daun singkong ambon segar
50.0,6.2,1.1,7.1,Daun singkong ampenan segar
74.0,6.3,0.7,10.7,Daun singkong kopang segar
55.0,4.0,0.5,8.5,Daun Singkong lodeh
31.0,3.7,0.6,4.8,Daun Singkong rebus
50.0,6.2,1.1,7.1,Daun singkong segar
36.0,2.6,0.9,6.1,Daun Sintrong
27.0,1.3,0.2,5.9,Daun talas rebus
59.0,3.0,0.4,13.5,Daun talas segar
71.0,4.1,2.1,12.3,Daun Tales
27.0,1.3,0.2,5.9,Daun Tales rebus
70.0,2.9,0.3,13.9,Daun tespong segar
47.0,2.8,0.4,10.4,Daun Ubi Jalar
56.0,3.1,0.3,13.0,Daun Ubi Jalar kukus
62.0,3.7,0.3,11.1,Daun ubi kuning segar
56.0,3.1,0.3,13.0,Daun ubi merah kukus
48.0,3.0,0.3,10.8,Daun ubi merah segar
46.0,2.8,0.2,8.2,Daun ubi putih segar
55.0,1.7,0.1,11.9,Daun ubi tinta segar
260.0,2.0,15.0,53.0,Deblo 
77.0,13.8,1.9,0.7,Dideh darah ayam
104.0,21.9,1.1,0.0,Dideh darah sapi
248.0,10.0,2.3,40.9,Djibokum masakan
395.0,3.0,5.7,81.2,Dodol
298.0,3.7,2.1,65.9,Dodol bali
368.0,2.6,8.6,70.0,Dodol banjarmasin
348.0,0.4,3.8,76.1,Dodol galamai
331.0,1.9,7.6,63.8,Dodol kedondong
373.0,4.3,16.5,51.9,Dodol manado
17.5,3.3,2.3,39.5,Dodonkol 
202.0,17.1,14.8,0.0,Domba daging kurus  segar
100.0,16.6,3.3,1.0,Domba ginjal segar
63.0,1.0,0.2,16.1,Duku
134.0,2.5,3.0,28.0,Durian
80.0,0.5,0.6,18.2,Duwet segar
18.0,1.0,0.2,3.8,Eceng Gondok
98.0,1.4,0.2,25.4,Embacang
345.0,12.0,1.5,71.5,Emping (kerupuk melinjo)
403.0,10.6,2.2,85.3,Emping beras
355.0,17.8,4.6,60.7,Emping komak
122.0,3.5,4.5,17.5,Encung asam segar
70.0,0.6,0.0,18.9,Erbis
210.0,4.0,12.5,20.6,Es krim
156.7,3.0,1.7,32.7,Es Krim (Coconut milk) 
152.0,0.0,0.0,37.6,Es Mambo 
44.8,0.0,0.0,11.3,Es Sirup 
270.0,12.3,15.9,19.3,Fillet o-fish
322.0,2.4,0.6,76.6,Gadeng/Gadung kering
137.0,6.1,3.2,21.0,Gado-gado
88.0,0.8,0.3,20.9,Gadung kukus
101.0,2.1,0.2,23.2,Gadung mentah
88.0,0.6,0.3,20.9,Gadung ubi kukus
100.0,0.9,0.3,23.5,Gadung ubi segar
18.0,0.8,0.2,4.1,Gambas (Oyong)
13.0,0.3,0.6,1.6,Gambas lodeh
68.0,0.7,0.1,18.0,Gandaria
100.0,0.8,0.2,23.8,Ganyong kukus
95.0,1.0,0.1,22.6,Ganyong mentah
100.0,0.8,0.2,23.8,Ganyong rebus
77.0,0.6,0.2,18.4,Ganyong segar
338.0,1.5,0.7,81.3,Gaplek
191.0,4.5,1.5,39.7,Gatep segar
